scientificName,canonicalName,authorship,family
"Aecnocyon ayersi (Sellards) Merriam, 1918",Aecnocyon ayersi,"(Sellards) Merriam, 1918",Canidae
"Aelurodon asthenostylus Wang et al., 1999",Aelurodon asthenostylus,"Wang et al., 1999",Canidae
"Aelurodon ferox Leidy, 1858",Aelurodon ferox,"Leidy, 1858",Canidae
"Aelurodon mcgrewi Wang et al., 1999",Aelurodon mcgrewi,"Wang et al., 1999",Canidae
"Aelurodon montanensis Wang et al., 2004",Aelurodon montanensis,"Wang et al., 2004",Canidae
"Aelurodon taxoides Hatcher, 1894",Aelurodon taxoides,"Hatcher, 1894",Canidae
"Canis wheelerianus (Cope, 1877)",Canis wheelerianus,"(Cope, 1877) ",Canidae
"Strobodon stirtoni (Wang et al., 1999)",Strobodon stirtoni,"(Wang et al., 1999) ",Canidae
"Aenocyon milleri (Merriam), 1918",Aenocyon milleri,"(Merriam) , 1918",Canidae
"Archaeocyon falkenbachi Wang et al., 1999",Archaeocyon falkenbachi,"Wang et al., 1999",Canidae
"Nothocyon leptodus (Schlaikjer, 1935)",Nothocyon leptodus,"(Schlaikjer, 1935) ",Canidae
"Pseudocynodictis pavidus (Stock, 1933)",Pseudocynodictis pavidus,"(Stock, 1933) ",Canidae
"Atelocynus microtis (Sclater, 1883)",Atelocynus microtis,"(Sclater, 1883) ",Canidae
"Bassariscops achoros Frailey, 1979",Bassariscops achoros,"Frailey, 1979",Canidae
"Aelurodon meandrinus (Hatcher, 1894)",Aelurodon meandrinus,"(Hatcher, 1894) ",Canidae
"Borophagus diversidens (Cope, 1892)",Borophagus diversidens,"(Cope, 1892) ",Canidae
"Borophagus littoralis (VanderHoof, 1931)",Borophagus littoralis,"(VanderHoof, 1931) ",Canidae
"Borophagus parvus Wang et al., 1999",Borophagus parvus,"Wang et al., 1999",Canidae
"Borophagus secundus (VanderHoof, 1931)",Borophagus secundus,"(VanderHoof, 1931) ",Canidae
"Osteoborus crassipinaetus Olsen, 1956",Osteoborus crassipinaetus,"Olsen, 1956",Canidae
"Osteoborus hilli (Johnston, 1939)",Osteoborus hilli,"(Johnston, 1939) ",Canidae
"Pliogulo dudleyi (White, 1941)",Pliogulo dudleyi,"(White, 1941) ",Canidae
"Porthocyon matthewi Freudenberg, 1910",Porthocyon matthewi,"Freudenberg, 1910",Canidae
"Porthocyon pugnator (Cook, 1922)",Porthocyon pugnator,"(Cook, 1922) ",Canidae
"Caedocyon tedfordi Wang, 1994",Caedocyon tedfordi,"Wang, 1994",Canidae
"Cams adustus Sundevall, 1846",Cams adustus,"Sundevall, 1846",Canidae
"Cams mesomelas Schreber, 1778",Cams mesomelas,"Schreber, 1778",Canidae
"Cams rufus Audubon & Bachman, 1851",Cams rufus,"Audubon & Bachman, 1851",Canidae
"Cams simensis Ruppell, 1835",Cams simensis,"Ruppell, 1835",Canidae
"Canis accitanus Garrido & Arribas, 2008",Canis accitanus,"Garrido & Arribas, 2008",Canidae
"Canis adustus Sundevall, 1847",Canis adustus,"Sundevall, 1847",Canidae
"Canis africanus Pohle, 1928",Canis africanus,"Pohle, 1928",Canidae
"Canis alopex Linnaeus, 1758",Canis alopex,"Linnaeus, 1758",Canidae
"Canis antarcticus Shaw, 1800",Canis antarcticus,"Shaw, 1800",Canidae
"Canis antarticus Kerr, 1792",Canis antarticus,"Kerr, 1792",Canidae
"Canis anthus F.Cuvier, 1820",Canis anthus,"F.Cuvier, 1820",Canidae
"Canis antonii Zdansky, 1924",Canis antonii,"Zdansky, 1924",Canidae
"Canis apolloniensis Koufos & Kostopoulos, 1997",Canis apolloniensis,"Koufos & Kostopoulos, 1997",Canidae
"Canis armbrusteri Gidley, 1913",Canis armbrusteri,"Gidley, 1913",Canidae
"Canis arnensis Del Campana, 1913",Canis arnensis,"Del Campana, 1913",Canidae
"Canis aureus Linnaeus, 1758",Canis aureus,"Linnaeus, 1758",Canidae
"Canis avicularius Zimmermann, 1780",Canis avicularius,"Zimmermann, 1780",Canidae
"Canis borjgali Bartolini Lucenti, Bukhsianidze, Martínez-Navarro & Lordkianidze, 2020",Canis borjgali,"Bartolini Lucenti, Bukhsianidze, Martínez-Navarro & Lordkianidze, 2020",Canidae
"Canis brevicephalus Qiu et al., 2004",Canis brevicephalus,"Qiu et al., 2004",Canidae
"Canis cedazoensis Mooser & Dalquest, 1975",Canis cedazoensis,"Mooser & Dalquest, 1975",Canidae
"Canis chihliensis Zdansky, 1924",Canis chihliensis,"Zdansky, 1924",Canidae
"Canis cipio Crusafont-Pairó, 1950",Canis cipio,"Crusafont-Pairó, 1950",Canidae
"Canis cyonoides Pei, 1934",Canis cyonoides,"Pei, 1934",Canidae
"Canis dingo Blumenbach, 1780",Canis dingo,"Blumenbach, 1780",Canidae
"Canis dingoides Matschie, 1915",Canis dingoides,"Matschie, 1915",Canidae
"Canis dirus Leidy, 1858",Canis dirus,"Leidy, 1858",Canidae
"Canis edwardii Gazin, 1942",Canis edwardii,"Gazin, 1942",Canidae
"Canis etruscus Major, 1877",Canis etruscus,"Major, 1877",Canidae
"Canis falconeri Forsyth-Major, 1877",Canis falconeri,"Forsyth-Major, 1877",Canidae
"Canis feneus Tedford et al., 2009",Canis feneus,"Tedford et al., 2009",Canidae
"Canis ferox Miller & Carranza-Castaneda, 1998",Canis ferox,"Miller & Carranza-Castaneda, 1998",Canidae
"Canis geismarianus Cope, 1878",Canis geismarianus,"Cope, 1878",Canidae
"Canis gezi Kraglievich, 1928",Canis gezi,"Kraglievich, 1928",Canidae
"Canis hallstromi Troughton, 1957",Canis hallstromi,"Troughton, 1957",Canidae
"Canis hispanicus Zimmermann, 1780",Canis hispanicus,"Zimmermann, 1780",Canidae
"Canis latrans Say, 1823",Canis latrans,"Say, 1823",Canidae
"Canis lepophagus Johnston, 1938",Canis lepophagus,"Johnston, 1938",Canidae
"Canis longdanensis Qiu et al., 2004",Canis longdanensis,"Qiu et al., 2004",Canidae
"Canis lupaster Hemprich & Ehrenberg, 1833",Canis lupaster,"Hemprich & Ehrenberg, 1833",Canidae
"Canis lupaster Viranta, Atickem, Werdelin & Stenseth, 2017",Canis lupaster,"Viranta, Atickem, Werdelin & Stenseth, 2017",Canidae
"Canis lupus Linnaeus, 1758",Canis lupus,"Linnaeus, 1758",Canidae
"Canis lycaon Schreber, 1775",Canis lycaon,"Schreber, 1775",Canidae
"Canis lydekkeri Ameghino, 1889",Canis lydekkeri,"Ameghino, 1889",Canidae
"Canis macdonnellensis Matschie, 1915",Canis macdonnellensis,"Matschie, 1915",Canidae
"Canis melitaeus Zimmermann, 1780",Canis melitaeus,"Zimmermann, 1780",Canidae
"Canis melomelas Zimmermann, 1780",Canis melomelas,"Zimmermann, 1780",Canidae
"Canis mesomelas Schreber, 1775",Canis mesomelas,"Schreber, 1775",Canidae
"Canis montanus Marsh, 1871",Canis montanus,"Marsh, 1871",Canidae
"Canis morenis Lydekker, 1894",Canis morenis,"Lydekker, 1894",Canidae
"Canis nehringi Ameghino, 1902",Canis nehringi,"Ameghino, 1902",Canidae
"Canis niger Sclater, 1874",Canis niger,"Sclater, 1874",Canidae
"Canis occidentalis Richardson, 1829",Canis occidentalis,"Richardson, 1829",Canidae
"Canis ochropus Eschscholtz, 1829",Canis ochropus,"Eschscholtz, 1829",Canidae
