scientificName,canonicalName,authorship,family,epithet,description
"Aecnocyon ayersi (Sellards) Merriam, 1918",Aecnocyon ayersi,"(Sellards) Merriam, 1918",Canidae,ayersi,a dog named after Ayers
"Aelurodon asthenostylus Wang et al., 1999",Aelurodon asthenostylus,"Wang et al., 1999",Canidae,asthenostylus,a weak-styled dog
"Aelurodon ferox Leidy, 1858",Aelurodon ferox,"Leidy, 1858",Canidae,ferox,a dog that resembles fierce or ferocious
"Aelurodon mcgrewi Wang et al., 1999",Aelurodon mcgrewi,"Wang et al., 1999",Canidae,mcgrewi,a dog named after McGrew
"Aelurodon montanensis Wang et al., 2004",Aelurodon montanensis,"Wang et al., 2004",Canidae,montanensis,a dog from the mountains
"Aelurodon taxoides Hatcher, 1894",Aelurodon taxoides,"Hatcher, 1894",Canidae,taxoides,a dog that resembles resembling a yew
"Canis wheelerianus (Cope, 1877)",Canis wheelerianus,"(Cope, 1877) ",Canidae,wheelerianus,a dog named after Wheeler
"Strobodon stirtoni (Wang et al., 1999)",Strobodon stirtoni,"(Wang et al., 1999) ",Canidae,stirtoni,a dog named after Stirton
"Aenocyon milleri (Merriam), 1918",Aenocyon milleri,"(Merriam) , 1918",Canidae,milleri,a dog named after Miller
"Archaeocyon falkenbachi Wang et al., 1999",Archaeocyon falkenbachi,"Wang et al., 1999",Canidae,falkenbachi,a dog named after Falkenbach
"Nothocyon leptodus (Schlaikjer, 1935)",Nothocyon leptodus,"(Schlaikjer, 1935) ",Canidae,leptodus,a slender-toothed dog
"Pseudocynodictis pavidus (Stock, 1933)",Pseudocynodictis pavidus,"(Stock, 1933) ",Canidae,pavidus,"a dog that resembles fearful, timid"
"Atelocynus microtis (Sclater, 1883)",Atelocynus microtis,"(Sclater, 1883) ",Canidae,microtis,a small-eared dog
"Bassariscops achoros Frailey, 1979",Bassariscops achoros,"Frailey, 1979",Canidae,achoros,a dog that resembles without separate regions
"Aelurodon meandrinus (Hatcher, 1894)",Aelurodon meandrinus,"(Hatcher, 1894) ",Canidae,meandrinus,a dog that resembles winding like a river
"Borophagus diversidens (Cope, 1892)",Borophagus diversidens,"(Cope, 1892) ",Canidae,diversidens,a dog that resembles with differing teeth
"Borophagus littoralis (VanderHoof, 1931)",Borophagus littoralis,"(VanderHoof, 1931) ",Canidae,littoralis,a dog that resembles of the shore
"Borophagus parvus Wang et al., 1999",Borophagus parvus,"Wang et al., 1999",Canidae,parvus,a dog that resembles small
"Borophagus secundus (VanderHoof, 1931)",Borophagus secundus,"(VanderHoof, 1931) ",Canidae,secundus,a dog that resembles one-sided or arranged on one side
"Osteoborus crassipinaetus Olsen, 1956",Osteoborus crassipinaetus,"Olsen, 1956",Canidae,crassipinaetus,a thick-spined dog
"Osteoborus hilli (Johnston, 1939)",Osteoborus hilli,"(Johnston, 1939) ",Canidae,hilli,a dog named after Hill
"Pliogulo dudleyi (White, 1941)",Pliogulo dudleyi,"(White, 1941) ",Canidae,dudleyi,a dog named after Dudley
"Porthocyon matthewi Freudenberg, 1910",Porthocyon matthewi,"Freudenberg, 1910",Canidae,matthewi,a dog named after Matthew
"Porthocyon pugnator (Cook, 1922)",Porthocyon pugnator,"(Cook, 1922) ",Canidae,pugnator,a dog that resembles fighter or warrior
"Caedocyon tedfordi Wang, 1994",Caedocyon tedfordi,"Wang, 1994",Canidae,tedfordi,a dog named after Tedford
"Cams adustus Sundevall, 1846",Cams adustus,"Sundevall, 1846",Canidae,adustus,a burnt or scorched dog
"Cams mesomelas Schreber, 1778",Cams mesomelas,"Schreber, 1778",Canidae,mesomelas,a black-backed dog
"Cams rufus Audubon & Bachman, 1851",Cams rufus,"Audubon & Bachman, 1851",Canidae,rufus,a dog that resembles reddish
"Cams simensis Ruppell, 1835",Cams simensis,"Ruppell, 1835",Canidae,simensis,a dog from the Simien mountains
"Canis accitanus Garrido & Arribas, 2008",Canis accitanus,"Garrido & Arribas, 2008",Canidae,accitanus,a dog from Acci
"Canis adustus Sundevall, 1847",Canis adustus,"Sundevall, 1847",Canidae,adustus,a burnt or scorched dog
"Canis africanus Pohle, 1928",Canis africanus,"Pohle, 1928",Canidae,africanus,a dog from Africa
"Canis alopex Linnaeus, 1758",Canis alopex,"Linnaeus, 1758",Canidae,alopex,a fox-like dog
"Canis antarcticus Shaw, 1800",Canis antarcticus,"Shaw, 1800",Canidae,antarcticus,a dog from or of the Antarctic
"Canis antarticus Kerr, 1792",Canis antarticus,"Kerr, 1792",Canidae,antarticus,a dog from the south
"Canis anthus F.Cuvier, 1820",Canis anthus,"F.Cuvier, 1820",Canidae,anthus,a flowering or flower-like dog
"Canis antonii Zdansky, 1924",Canis antonii,"Zdansky, 1924",Canidae,antonii,a dog named after Anton
"Canis apolloniensis Koufos & Kostopoulos, 1997",Canis apolloniensis,"Koufos & Kostopoulos, 1997",Canidae,apolloniensis,a dog from Apollonia
"Canis armbrusteri Gidley, 1913",Canis armbrusteri,"Gidley, 1913",Canidae,armbrusteri,a dog named after Armbruster
"Canis arnensis Del Campana, 1913",Canis arnensis,"Del Campana, 1913",Canidae,arnensis,a dog from the River Arno
"Canis aureus Linnaeus, 1758",Canis aureus,"Linnaeus, 1758",Canidae,aureus,a golden or gold-colored dog
"Canis avicularius Zimmermann, 1780",Canis avicularius,"Zimmermann, 1780",Canidae,avicularius,a dog that resembles bird-keeper
"Canis borjgali Bartolini Lucenti, Bukhsianidze, Martínez-Navarro & Lordkianidze, 2020",Canis borjgali,"Bartolini Lucenti, Bukhsianidze, Martínez-Navarro & Lordkianidze, 2020",Canidae,borjgali,a dog named after the Georgian deity Borjgali
